id,name,type,country,age,value,category
Thuram,Marcus Thuram,3,Frankreich,24,200,mid
Embolo,Breel Embolo,3,Schweiz,25,150,mid
EFF,Eintracht Frankfurt,2,,,,
Trapp,Kevin Trapp,3,Deutschland,31,70,old
Ramaj,Diant Ramaj,3,Deutschland,20,8,young
Horz,Jannik Horz,3,Deutschland,19,2,teen
Grahl,Jens Grahl,3,Deutschland,33,2,rusty
Bignetti,Matteo Bignetti,3,Deutschland,33,3,rusty
Ndicka,Evan Ndicka,3,Frankreich,22,320,young
Tuta,Tuta,3,Brasilien,22,130,young
Hinteregger,Martin Hinteregger,3,Oesterreich,29,90,old
Toure,Almany Toure,3,Mali,26,35,mid
Hasebe,Makoto Hasebe,3,Japan,38,8,rusty
Lenz,Christopher Lenz,3,Deutschland,27,40,mid
Schroeder,Jan Schroeder,3,Deutschland,19,2,teen
da Costa,Danny da Costa,3,Deutschland,28,23,old
Durm,Erik Durm,3,Deutschland,30,12,old
Chandler,Timothy Chandler,3,USA,32,12,rusty
Jakic,Kristijan Jakic,3,Kroatien,25,90,mid
Ilsanker,Stefan Ilsanker,3,Oesterreich,33,10,rusty
Sow,Djibril Sow,3,Schweiz,25,220,mid
Rode,Sebastian Rode,3,Deutschland,31,25,old
Barkok,Aymen Barkok,3,Deutschland,24,18,mid
Foti,Antonia Foti,3,Zypern,18,4,teen
Kostic,Filip Kostic,3,Serbien,29,240,old
Kamada,Daichi Kamada ,3,Japan,25,220,mid
Lindstroem,Jesper Lindstroem,3,Daenemark,22,170,young
Hrustic,Ajdin Hrustic,3,Australien,25,30,mid
Zuber,Steven Zuber,3,Schweiz,30,25,old
Younes,Amin Younes,3,Deutschland,28,15,old
SchaeferG,Gianluca Schaefer,3,Deutschland,19,2,teen
Hauge,Jens Petter Hauge,3,Norwegen,22,80,young
Borre,Rafael Borre,3,Kolumbien,26,200,mid
Paciencia,Goncalo Paciencia,3,Portugal,27,30,mid
Lammers,Sam Lammers,3,Niederlande,25,30,mid
Ache,Ragnar Ache,3,Deutschland,23,15,young
Herrero,Enrique Herrero,3,Spanien,17,3,teen
WOB,VfL Wolfsburg,2,,,,
Casteels,Koen Casteels,3,Belgien,29,110,old
Pervan,Pavao Pervan,3,Oesterreich,33,6,rusty
Schulze,Philipp Schulze,3,Deutschland,18,2,teen
Klinger,Niklas Klinger,3,Deutschland,25,1,mid
Lacroix,Maxence Lacroix,3,Frankreich,21,200,young
Bornauw,Sebastiaan Bornauw,3,Belgien,22,100,young
Brooks,John Anthony Brooks,3,USA,28,70,old
van de Ven,Micky van de Ven,3,Niederlande,20,40,young
MacNulty,Anselmo Garcia MacNulty,3,Irland,18,3,teen
Lang,Jannis Lang,3,Deutschland,18,2,teen
Otavio,Paulo Otavio,3,Brasilien,26,60,mid
Roussillon,Jerome Roussillon,3,Frankreich,28,45,old
Baku,Ridle Baku,3,Deutschland,23,200,young
