from,to,relationship,rank,agency,category,worth
Andrich,LEV,2,13,LEV,mid,cheap
Amiri,Sports360,1,13,Sports360,mid,cheap
Amiri,LEV,2,13,LEV,mid,cheap
Aranguiz,Felicevich,1,13,Felicevich,rusty,low
Aranguiz,LEV,2,13,LEV,rusty,low
Sertdemir,none,1,13,none,teen,low
Sertdemir,LEV,2,13,LEV,teen,low
Wirtz,none,1,13,none,teen,expensive
Wirtz,LEV,2,13,LEV,teen,expensive
Diaby,AIS,1,13,AIS,young,high
Diaby,LEV,2,13,LEV,young,high
Paulinho,Leite,1,13,Leite,young,cheap
Paulinho,LEV,2,13,LEV,young,cheap
Adli,CSA,1,13,CSA,young,cheap
Adli,LEV,2,13,LEV,young,cheap
Bellarabi,KL,1,13,KL,rusty,low
Bellarabi,LEV,2,13,LEV,rusty,low
Schick,IntSM,1,13,IntSM,mid,high
Schick,LEV,2,13,LEV,mid,high
Azmoun,Epic,1,13,Epic,mid,average
Azmoun,LEV,2,13,LEV,mid,average
Alario,Extra,1,13,Extra,old,cheap
Alario,LEV,2,13,LEV,old,cheap
Pohjanpalo,Hebel,1,13,Hebel,mid,low
Pohjanpalo,LEV,2,13,LEV,mid,low
Gedikli,NG360,1,13,NG360,teen,low
Gedikli,LEV,2,13,LEV,teen,low
Bravo,none,1,13,none,teen,nothing
Bravo,LEV,2,13,LEV,teen,nothing
Gulacsi,HCM,1,14,HCM,rusty,cheap
Gulacsi,RBL,2,14,RBL,rusty,cheap
Martinez,INVSPORT,1,14,INVSPORT,mid,low
Martinez,RBL,2,14,RBL,mid,low
Tschauner,none,1,14,none,rusty,nothing
Tschauner,RBL,2,14,RBL,rusty,nothing
Eutinger,MunichF,1,14,MunichF,teen,nothing
Eutinger,RBL,2,14,RBL,teen,nothing
Gvardiol,Sisic,1,14,Sisic,young,average
Gvardiol,RBL,2,14,RBL,young,average
Simakan,BSGroup,1,14,BSGroup,young,average
Simakan,RBL,2,14,RBL,young,average
Klostermann,EMG,1,14,EMG,mid,cheap
Klostermann,RBL,2,14,RBL,mid,cheap
Orban,ROGON,1,14,ROGON,old,cheap
Orban,RBL,2,14,RBL,old,cheap
Lelle,PESM,1,14,PESM,teen,nothing
Lelle,RBL,2,14,RBL,teen,nothing
Angelino,VIDA,1,14,VIDA,mid,average
Angelino,RBL,2,14,RBL,mid,average
Halstenberg,TrueSports,1,14,TrueSports,old,low
Halstenberg,RBL,2,14,RBL,old,low
Mukiele,SC,1,14,SC,mid,cheap
Mukiele,RBL,2,14,RBL,mid,cheap
Henrichs,CN,1,14,CN,mid,cheap
Henrichs,RBL,2,14,RBL,mid,cheap
Bonnah,Skylar,1,14,Skylar,teen,nothing
Bonnah,RBL,2,14,RBL,teen,nothing
AdamsT,YMU,1,14,YMU,young,cheap
AdamsT,RBL,2,14,RBL,young,cheap
Laimer,ROOF,1,14,ROOF,mid,average
Laimer,RBL,2,14,RBL,mid,average
Haidara,Unique,1,14,Unique,mid,average
Haidara,RBL,2,14,RBL,mid,average
Moriba,ROGON,1,14,ROGON,teen,cheap
Moriba,RBL,2,14,RBL,teen,cheap
Kampl,MR,1,14,MR,old,cheap
Kampl,RBL,2,14,RBL,old,cheap
Raebiger,none,1,14,none,teen,nothing
Raebiger,RBL,2,14,RBL,teen,nothing
Klefisch,Sports360,1,14,Sports360,teen,nothing
Klefisch,RBL,2,14,RBL,teen,nothing
Olmo,Niagara,1,14,Niagara,mid,average
Olmo,RBL,2,14,RBL,mid,average
Wosz,EMG,1,14,EMG,teen,nothing
Wosz,RBL,2,14,RBL,teen,nothing
Szoboszlai,EM,1,14,EM,young,average
Szoboszlai,RBL,2,14,RBL,young,average
Forsberg,HCM,1,14,HCM,old,cheap
Forsberg,RBL,2,14,RBL,old,cheap
Ibrahimi,SBS,1,14,SBS,teen,nothing
Ibrahimi,RBL,2,14,RBL,teen,nothing
Novoa,ROOF,1,14,ROOF,teen,low
Novoa,RBL,2,14,RBL,teen,low
Hartmann,ICMStellar,1,14,ICMStellar,young,nothing
Hartmann,RBL,2,14,RBL,young,nothing
Nkunku,Zahavi,1,14,Zahavi,mid,expensive
Nkunku,RBL,2,14,RBL,mid,expensive
Silva,Gestifute,1,14,Gestifute,mid,average
Silva,RBL,2,14,RBL,mid,average
Hwang,none,1,14,none,mid,cheap
Hwang,RBL,2,14,RBL,mid,cheap
Poulsen,PEP,1,14,PEP,old,cheap
Poulsen,RBL,2,14,RBL,old,cheap
Brobbey,Pimenta,1,14,Pimenta,young,cheap
Brobbey,RBL,2,14,RBL,young,cheap
Roennow,Boutique,1,15,Boutique,old,low
Roennow,FCU,2,15,FCU,old,low
Luthe,act,1,15,act,rusty,nothing
Luthe,FCU,2,15,FCU,rusty,nothing
Busk,none,1,15,none,old,nothing
Busk,FCU,2,15,FCU,old,nothing
Petzsch,Hebel,1,15,Hebel,teen,nothing
Petzsch,FCU,2,15,FCU,teen,nothing
Stein,INTEAM,1,15,INTEAM,teen,nothing
Stein,FCU,2,15,FCU,teen,nothing
Jaeckel,Herzog,1,15,Herzog,young,low
Jaeckel,FCU,2,15,FCU,young,low
Baumgartl,CN,1,15,CN,mid,low
Baumgartl,FCU,2,15,FCU,mid,low
Knoche,Sports360,1,15,Sports360,old,low
Knoche,FCU,2,15,FCU,old,low
Heintz,Sports360,1,15,Sports360,old,low
Heintz,FCU,2,15,FCU,old,low
van Drongelen,SEG,1,15,SEG,young,low
van Drongelen,FCU,2,15,FCU,young,low
Bruns,B360,1,15,B360,teen,nothing
Bruns,FCU,2,15,FCU,teen,nothing
Puchacz,Fabryka,1,15,Fabryka,young,low
Puchacz,FCU,2,15,FCU,young,low
Giesselmann,SMG,1,15,SMG,old,low
Giesselmann,FCU,2,15,FCU,old,low
Oczipka,Sports360,1,15,Sports360,rusty,nothing
Oczipka,FCU,2,15,FCU,rusty,nothing
Ryerson,none,1,15,none,mid,low
Ryerson,FCU,2,15,FCU,mid,low
Trimmel,ROOF,1,15,ROOF,rusty,nothing
Trimmel,FCU,2,15,FCU,rusty,nothing
Dehl,SEG,1,15,SEG,young,nothing
Dehl,FCU,2,15,FCU,young,nothing
Khedira,NGM,1,15,NGM,old,cheap
Khedira,FCU,2,15,FCU,old,cheap
Proemel,Unique,1,15,Unique,mid,cheap
Proemel,FCU,2,15,FCU,mid,cheap
SchaeferA,none,1,15,none,young,low
SchaeferA,FCU,2,15,FCU,young,low
Oeztunali,ICMStellar,1,15,ICMStellar,mid,low
Oeztunali,FCU,2,15,FCU,mid,low
Moehwald,Herzog,1,15,Herzog,old,low
Moehwald,FCU,2,15,FCU,old,low
SchneiderF,B360,1,15,B360,teen,nothing
SchneiderF,FCU,2,15,FCU,teen,nothing
Somnitz,B360,1,15,B360,teen,nothing
Somnitz,FCU,2,15,FCU,teen,nothing
Wszolek,KFM,1,15,KFM,old,low
Wszolek,FCU,2,15,FCU,old,low
Haraguchi,PROProfil,1,15,PROProfil,old,low
Haraguchi,FCU,2,15,FCU,old,low
EndoK,UDN,1,15,UDN,mid,nothing
EndoK,FCU,2,15,FCU,mid,nothing
Becker,eXcellence,1,15,eXcellence,mid,cheap
Becker,FCU,2,15,FCU,mid,cheap
Awoniyi,ROOF,1,15,ROOF,mid,cheap
Awoniyi,FCU,2,15,FCU,mid,cheap
Voglsammer,Breeze,1,15,Breeze,old,low
Voglsammer,FCU,2,15,FCU,old,low
MichelS,Herzog,1,15,Herzog,old,low
MichelS,FCU,2,15,FCU,old,low
Teuchert,ROOF,1,15,ROOF,mid,nothing
Teuchert,FCU,2,15,FCU,mid,nothing
Behrens,BOKS,1,15,BOKS,old,nothing
Behrens,FCU,2,15,FCU,old,nothing
Ujah,ROOF,1,15,ROOF,old,nothing
Ujah,FCU,2,15,FCU,old,nothing
Abdullahi,Atta,1,15,Atta,mid,nothing
Abdullahi,FCU,2,15,FCU,mid,nothing
Flekken,SEG,1,16,SEG,old,cheap
Flekken,SCF,2,16,SCF,old,cheap
Atubolu,none,1,16,none,young,low
Atubolu,SCF,2,16,SCF,young,low
Uphoff,Herzog,1,16,Herzog,old,nothing
Uphoff,SCF,2,16,SCF,old,nothing
SchlotterbeckN,SchneiderR,1,16,SchneiderR,young,average
SchlotterbeckN,SCF,2,16,SCF,young,average
Lienhart,YOUFIRST,1,16,YOUFIRST,mid,cheap
Lienhart,SCF,2,16,SCF,mid,cheap
SchlotterbeckK,SchneiderR,1,16,SchneiderR,mid,low
SchlotterbeckK,SCF,2,16,SCF,mid,low
Gulde,none,1,16,none,old,low
Gulde,SCF,2,16,SCF,old,low
Sildillia,ROGON,1,16,ROGON,young,low
Sildillia,SCF,2,16,SCF,young,low
SchmidtK,ROGON,1,16,ROGON,young,nothing
SchmidtK,SCF,2,16,SCF,young,nothing
Guenter,Unique,1,16,Unique,old,cheap
Guenter,SCF,2,16,SCF,old,cheap
Ezekwem,CN,1,16,CN,young,nothing
Ezekwem,SCF,2,16,SCF,young,nothing
Siquet,Cherry,1,16,Cherry,teen,cheap
Siquet,SCF,2,16,SCF,teen,cheap
Kuebler,ROOF,1,16,ROOF,old,low
Kuebler,SCF,2,16,SCF,old,low
Schmid,Unique,1,16,Unique,rusty,low
Schmid,SCF,2,16,SCF,rusty,low
Keitel,Unique,1,16,Unique,young,low
Keitel,SCF,2,16,SCF,young,low
Hoefler,Unique,1,16,Unique,rusty,low
Hoefler,SCF,2,16,SCF,rusty,low
Engelhardt,CALCYO,1,16,CALCYO,young,nothing
Engelhardt,SCF,2,16,SCF,young,nothing
Santamaria,Profile,1,16,Profile,mid,cheap
Santamaria,SCF,2,16,SCF,mid,cheap
Eggestein,ROOF,1,16,ROOF,mid,cheap
Eggestein,SCF,2,16,SCF,mid,cheap
Haberer,Unique,1,16,Unique,old,low
Haberer,SCF,2,16,SCF,old,low
Wagner,VIDA,1,16,VIDA,teen,nothing
Wagner,SCF,2,16,SCF,teen,nothing
Grifo,ROOF,1,16,ROOF,old,cheap
Grifo,SCF,2,16,SCF,old,cheap
Weisshaupt,Unique,1,16,Unique,young,low
Weisshaupt,SCF,2,16,SCF,young,low
Sallai,ROGON,1,16,ROGON,mid,cheap
Sallai,SCF,2,16,SCF,mid,cheap
Schade,Euro,1,16,Euro,young,cheap
Schade,SCF,2,16,SCF,young,cheap
Jeong,Apertura,1,16,Apertura,young,cheap
Jeong,SCF,2,16,SCF,young,cheap
Hoeler,Unique,1,16,Unique,mid,cheap
Hoeler,SCF,2,16,SCF,mid,cheap
Demirovic,PROProfil,1,16,PROProfil,mid,cheap
Demirovic,SCF,2,16,SCF,mid,cheap
Petersen,none,1,16,none,rusty,low
Petersen,SCF,2,16,SCF,rusty,low
Vermeij,Doorn,1,16,Doorn,mid,nothing
Vermeij,SCF,2,16,SCF,mid,nothing
Burkart,Promoesport,1,16,Promoesport,young,nothing
Burkart,SCF,2,16,SCF,young,nothing
Schwaebe,CN,1,17,CN,mid,low
Schwaebe,FCK,2,17,FCK,mid,low
HornT,Sports360,1,17,Sports360,old,low
HornT,FCK,2,17,FCK,old,low
Urbig,ROOF,1,17,ROOF,teen,nothing
Urbig,FCK,2,17,FCK,teen,nothing
Koebbing,Haspel,1,17,Haspel,mid,nothing
Koebbing,FCK,2,17,FCK,mid,nothing
Huebers,TB,1,17,TB,mid,cheap
Huebers,FCK,2,17,FCK,mid,cheap
Kilian,LK,1,17,LK,young,low
Kilian,FCK,2,17,FCK,young,low
Mere,Gelu,1,17,Gelu,mid,low
Mere,FCK,2,17,FCK,mid,low
Chabot,PROProfil,1,17,PROProfil,mid,low
Chabot,FCK,2,17,FCK,mid,low
Arrey-Mbi,KuR,1,17,KuR,teen,low
Arrey-Mbi,FCK,2,17,FCK,teen,low
Czichos,ROOF,1,17,ROOF,rusty,nothing
Czichos,FCK,2,17,FCK,rusty,nothing
Hector,act,1,17,act,rusty,low
Hector,FCK,2,17,FCK,rusty,low
HornJ,none,1,17,none,mid,low
HornJ,FCK,2,17,FCK,mid,low
Katterbach,ROGON,1,17,ROGON,young,low
Katterbach,FCK,2,17,FCK,young,low
Schmitz,Koegl,1,17,Koegl,mid,low
Schmitz,FCK,2,17,FCK,mid,low
Ehizibue,none,1,17,none,mid,low
Ehizibue,FCK,2,17,FCK,mid,low
Skhiri,LIAN,1,17,LIAN,mid,cheap
Skhiri,FCK,2,17,FCK,mid,cheap
