from,to,relationship,rank,agency,category,worth
Laursen,ABF,2,27,ABF,mid,low
Brunner,ROOF,1,27,ROOF,mid,low
Brunner,ABF,2,27,ABF,mid,low
Prietl,YOUFIRST,1,27,YOUFIRST,old,low
Prietl,ABF,2,27,ABF,old,low
Kunze,Spanier,1,27,Spanier,young,nothing
Kunze,ABF,2,27,ABF,young,nothing
Frommann,ROGON,1,27,ROGON,teen,nothing
Frommann,ABF,2,27,ABF,teen,nothing
Schoepf,EMG,1,27,EMG,mid,low
Schoepf,ABF,2,27,ABF,mid,low
Hartel,Hebel,1,27,Hebel,mid,low
Hartel,ABF,2,27,ABF,mid,low
Vasiliadis,GW,1,27,GW,young,low
Vasiliadis,ABF,2,27,ABF,young,low
Ince,COMET,1,27,COMET,teen,low
Ince,ABF,2,27,ABF,teen,low
Castro,Sports360,1,27,Sports360,rusty,nothing
Castro,ABF,2,27,ABF,rusty,nothing
Okugawa,Yu,1,27,Yu,mid,low
Okugawa,ABF,2,27,ABF,mid,low
Cherny,ROGON,1,27,ROGON,teen,nothing
Cherny,ABF,2,27,ABF,teen,nothing
Dogan,FG,1,27,FG,teen,nothing
Dogan,ABF,2,27,ABF,teen,nothing
HackR,CN,1,27,CN,young,low
HackR,ABF,2,27,ABF,young,low
Wimmer,MTS,1,27,MTS,young,cheap
Wimmer,ABF,2,27,ABF,young,cheap
Lasme,Hexagon,1,27,Hexagon,young,nothing
Lasme,ABF,2,27,ABF,young,nothing
Gebauer,FSC,1,27,FSC,mid,nothing
Gebauer,ABF,2,27,ABF,mid,nothing
Krueger,ROGON,1,27,ROGON,young,low
Krueger,ABF,2,27,ABF,young,low
Serra,Headtrick,1,27,Headtrick,young,low
Serra,ABF,2,27,ABF,young,low
Klos,KL,1,27,KL,rusty,nothing
Klos,ABF,2,27,ABF,rusty,nothing
Linde,Solbakken,1,28,Solbakken,mid,nothing
Linde,SGF,2,28,SGF,mid,nothing
Burchert,SEG,1,28,SEG,old,nothing
Burchert,SGF,2,28,SGF,old,nothing
Funk,fairsport,1,28,fairsport,mid,nothing
Funk,SGF,2,28,SGF,mid,nothing
Schaffran,Neblung,1,28,Neblung,young,nothing
Schaffran,SGF,2,28,SGF,young,nothing
SchulzL,none,1,28,none,teen,nothing
SchulzL,SGF,2,28,SGF,teen,nothing
BauerM,SchneiderR,1,28,SchneiderR,young,low
BauerM,SGF,2,28,SGF,young,low
Hoogma,V4S,1,28,V4S,young,nothing
Hoogma,SGF,2,28,SGF,young,nothing
Viergever,SV,1,28,SV,old,nothing
Viergever,SGF,2,28,SGF,old,nothing
Griesbeck,Haspel,1,28,Haspel,old,nothing
Griesbeck,SGF,2,28,SGF,old,nothing
Jung,Wasserman,1,28,Wasserman,mid,nothing
Jung,SGF,2,28,SGF,mid,nothing
Barry,BernardC,1,28,BernardC,young,nothing
Barry,SGF,2,28,SGF,young,nothing
Fobassam,none,1,28,none,teen,nothing
Fobassam,SGF,2,28,SGF,teen,nothing
Itter,Sports360,1,28,Sports360,young,low
Itter,SGF,2,28,SGF,young,low
Willems,Wasserman,1,28,Wasserman,mid,nothing
Willems,SGF,2,28,SGF,mid,nothing
Meyerhoefer,eXcellence,1,28,eXcellence,mid,low
Meyerhoefer,SGF,2,28,SGF,mid,low
Asta,ROOF,1,28,ROOF,young,nothing
Asta,SGF,2,28,SGF,young,nothing
Christiansen,Soccertalk,1,28,Soccertalk,mid,low
Christiansen,SGF,2,28,SGF,mid,low
Fein,Sports360,1,28,Sports360,young,nothing
Fein,SGF,2,28,SGF,young,nothing
Sarpei,MS,1,28,MS,young,nothing
Sarpei,SGF,2,28,SGF,young,nothing
Seguin,TF,1,28,TF,mid,low
Seguin,SGF,2,28,SGF,mid,low
TillmanT,ROOF,1,28,ROOF,young,low
TillmanT,SGF,2,28,SGF,young,low
Raschl,KL,1,28,KL,young,nothing
Raschl,SGF,2,28,SGF,young,nothing
Green,acta7,1,28,acta7,mid,nothing
Green,SGF,2,28,SGF,mid,nothing
Seufert,ROGON,1,28,ROGON,mid,nothing
Seufert,SGF,2,28,SGF,mid,nothing
Dudziak,100and10,1,28,100and10,mid,low
Dudziak,SGF,2,28,SGF,mid,low
Torlak,1K,1,28,1K,teen,nothing
Torlak,SGF,2,28,SGF,teen,nothing
Leweling,eXcellence,1,28,eXcellence,young,low
Leweling,SGF,2,28,SGF,young,low
Hrgota,GOOLD,1,28,GOOLD,old,low
Hrgota,SGF,2,28,SGF,old,low
Ngankam,11WINS,1,28,11WINS,young,low
Ngankam,SGF,2,28,SGF,young,low
Itten,IFM,1,28,IFM,mid,low
Itten,SGF,2,28,SGF,mid,low
Pululu,LITCHI,1,28,LITCHI,young,nothing
Pululu,SGF,2,28,SGF,young,nothing
Nielsen,Unique,1,28,Unique,mid,nothing
Nielsen,SGF,2,28,SGF,mid,nothing
Abiama,JFSM,1,28,JFSM,young,nothing
Abiama,SGF,2,28,SGF,young,nothing
Kehr,Wasserman,1,28,Wasserman,young,nothing
Kehr,SGF,2,28,SGF,young,nothing
